id,name,amount,active,created_at
1,Alice,12.5,true,2023-01-02T12:34:56Z
2,Bob,7.0,false,2022-12-31T08:00:00Z
3,Charlie,,1,2021-06-10
4,Denise,100,0,2020-03-01T00:00:00Z
5,Eve,45.75,true,2023-05-15T14:22:33Z
6,Frank,89.25,,2022-08-20T09:15:00Z
7,Grace,2.3,1,2021-11-03T16:45:12Z
8,Henry,567.89,false,2020-02-14T20:30:45Z
9,Ivy,34.56,true,2023-03-22T11:20:18Z
10,Jack,,0,2022-07-08T13:55:22Z
11,Karen,123.45,true,2021-09-19T08:42:10Z
12,Leo,456.78,false,2020-04-05T15:17:33Z
13,Mary,789.01,,2023-02-28T10:25:47Z
14,Nathan,234.56,1,2022-06-12T18:33:29Z
15,Olivia,345.67,true,2021-10-30T07:11:04Z
16,Paul,,0,2020-01-17T21:48:56Z
17,Quinn,678.90,false,2023-04-09T12:39:21Z
18,Rachel,901.23,1,2022-09-24T14:08:35Z
19,Sam,567.34,,2021-05-06T09:52:14Z
20,Tina,234.12,true,2020-12-25T16:20:40Z
21,Uma,345.89,false,2023-08-11T10:15:25Z
22,Victor,456.23,,2022-03-17T13:42:50Z
23,Wendy,789.45,1,2021-07-02T15:33:08Z
24,Xavier,123.67,0,2020-09-28T08:19:37Z
25,Yara,234.45,true,2023-11-14T17:26:52Z
26,Zara,345.12,false,2022-05-20T11:14:19Z
27,Aaron,456.89,,2021-02-10T14:47:03Z
28,Bella,567.56,1,2020-08-04T09:35:26Z
29,Chloe,678.34,true,2023-06-16T16:08:44Z
30,Derek,,0,2022-12-03T13:21:29Z
31,Ella,789.12,false,2021-04-25T10:52:15Z
32,Fiona,234.56,true,2020-11-01T18:44:33Z
33,George,345.67,,2023-09-30T12:19:47Z
34,Hannah,456.78,1,2022-02-14T15:37:22Z
35,Isaac,567.89,0,2021-08-22T07:29:10Z
36,Julia,678.90,true,2020-06-09T14:13:42Z
37,Kevin,,false,2023-12-05T11:01:15Z
38,Lily,234.12,1,2022-10-18T16:48:38Z
39,Mason,345.23,true,2021-03-08T09:55:24Z
40,Nora,456.34,,2020-07-31T17:22:51Z
